,battery,humidity,pressure,rf_counter,rf_total,temperature,direction,speed,f_cnt,rssi,snr,value,time
53,42,75,1007.2,0,2.76,12.2,317.5,0.4,61,-106,4.2,1,2025-03-27T15:48:54.67001471Z
54,42,76.5,1007.2,0,2.8,12.1,351.6,0.5,62,-111,-6.2,1,2025-03-27T15:53:54.650797468Z
55,41,77,1007.3,0,2.81,12.1,330.5,0.2,63,-101,-1.5,1,2025-03-27T15:58:54.680558433Z
56,41,78,1007.3,0,2.87,12.1,51.5,0.3,64,-108,-0.5,1,2025-03-27T16:03:54.621471289Z
57,41,77.5,1007.4,0,2.96,12,277.3,0.4,65,-110,-1.5,1,2025-03-27T16:08:54.595783109Z
58,41,77,1007.5,0,3.04,12,346,0.7,66,-104,5.5,1,2025-03-27T16:13:54.658952157Z
59,41,77,1007.5,0,3.08,11.9,312.1,0.6,67,-105,6.8,1,2025-03-27T16:18:54.607228927Z
60,41,78,1007.4,0,3.12,11.9,217,0.5,68,-100,1,1,2025-03-27T16:23:54.583396524Z
61,41,81.5,1007.4,0,3.16,11.8,141.5,0.3,69,-104,5.5,1,2025-03-27T16:28:54.575268176Z
62,41,83.5,1007.5,0,3.27,11.6,91.3,0.4,70,-110,-0.8,1,2025-03-27T16:33:54.574332196Z
63,41,81.5,1007.5,0,3.44,11.5,286,0.7,71,-101,7.2,1,2025-03-27T16:38:54.56749884Z
64,41,83,1007.5,0,3.62,11.5,326.5,0.6,72,-109,0.8,1,2025-03-27T16:43:54.564215464Z
65,41,84.5,1007.5,0,3.78,11.3,19.6,0.7,73,-109,-1.2,1,2025-03-27T16:48:54.574320588Z
66,41,84.5,1007.6,0,3.86,11.2,45.7,0.7,74,-104,5.8,1,2025-03-27T16:53:54.546382159Z
67,41,84,1007.6,0,3.95,11.2,270.5,0.8,75,-103,7.2,1,2025-03-27T16:58:54.53466625Z
68,39,84.5,1007.7,0,4.12,11.2,121.6,0.3,76,-100,1,1,2025-03-27T17:03:54.548510333Z
69,39,85.5,1007.9,0,4.16,11.1,45,0.4,77,-103,7.2,1,2025-03-27T17:08:54.575501512Z
70,39,85.5,1007.8,0,4.23,11,348.6,0.3,78,-109,0.2,1,2025-03-27T17:13:54.514030335Z
71,39,87,1007.7,0,4.26,11,165.5,1.6,79,-100,0.8,1,2025-03-27T17:18:54.609865509Z
72,39,86.5,1007.5,0,4.28,11.1,183.8,1.5,80,-104,5.2,1,2025-03-27T17:23:54.506497825Z
73,39,85.5,1007.5,0,4.28,11.1,204.1,2.1,81,-107,2.8,1,2025-03-27T17:28:54.516175265Z
74,39,85,1007.6,0,4.28,11.2,199,1.9,82,-103,6.2,1,2025-03-27T17:33:54.499018201Z
75,39,85,1007.5,0,4.28,11.3,196.8,1.5,83,-105,4.5,1,2025-03-27T17:38:54.490996623Z
76,39,85,1007.6,0,4.28,11.2,168.3,1.4,84,-102,5.2,1,2025-03-27T17:43:54.481238862Z
77,39,84.5,1007.7,0,4.28,11.3,168.1,1.3,85,-103,7.5,1,2025-03-27T17:48:54.516251054Z
78,39,84.5,1007.7,0,4.28,11.3,157.6,1,86,-110,-1.2,1,2025-03-27T17:53:54.468999081Z
79,39,86,1007.8,0,4.28,11.2,150.3,1,87,-102,8,1,2025-03-27T17:58:54.503243511Z
80,38,85.5,1007.9,0,4.28,11.2,143.2,1,88,-105,5.5,1,2025-03-27T18:03:54.475077638Z
81,38,85.5,1007.9,0,4.28,11.2,148.3,1,89,-111,-2,1,2025-03-27T18:08:54.456667043Z
82,38,86,1008,0,4.28,11.2,151,0.9,90,-104,5.8,1,2025-03-27T18:13:54.451484514Z
83,38,86.5,1008.1,0,4.28,11.2,145.2,1.3,91,-105,4.2,1,2025-03-27T18:18:54.481355769Z
84,38,85.5,1008.2,0,4.28,11.2,139.6,1.2,92,-101,-0.2,1,2025-03-27T18:23:54.554329303Z
85,38,84,1008.3,0,4.28,11.2,147.7,1.9,93,-104,5.8,1,2025-03-27T18:28:54.428260254Z
