current_time,indexers_created,indexers_malign,indexers_banned,indexers_banned_malign,inferred_truth,avg_rep_benign,avg_rep_malign,mode,fail_counter,consolidated_result
2025-06-13 08:50:58.505105220+00:00,8,0,0,0,30.553160058984243,0.30957293962136123,0.0,zonia,0,False
2025-06-13 09:50:08.517936220+00:00,8,0,0,0,31.56155161598427,0.48749959365696993,0.0,zonia,0,False
2025-06-13 10:22:30.859778220+00:00,8,0,0,0,32.36334790442654,0.6009676428046223,0.0,zonia,0,False
2025-06-13 10:36:11.503516220+00:00,8,0,0,0,32.51431572544673,0.6813223927420374,0.0,zonia,0,False
2025-06-13 10:59:07.791930220+00:00,8,0,0,0,32.6610680085655,0.7725341535515886,0.0,zonia,0,False
2025-06-13 11:15:44.722949220+00:00,8,0,0,0,33.052132804311725,0.8314450963909226,0.0,zonia,0,False
2025-06-13 11:16:21.642127220+00:00,8,0,0,0,32.88858496731462,0.8658700250685034,0.0,zonia,0,False
2025-06-13 11:18:51.465218220+00:00,8,0,0,0,32.962302549213334,0.8886290276926286,0.0,zonia,0,False
2025-06-13 11:31:12.304816220+00:00,8,0,0,0,32.94185023682073,0.9197493422407332,0.0,zonia,0,False
2025-06-13 11:58:23.539587220+00:00,8,0,0,0,32.98886155581249,0.9211857003205802,0.0,zonia,0,False
2025-06-13 11:59:26.363121220+00:00,8,0,0,0,33.01092142746225,0.9299362751332405,0.0,zonia,0,False
2025-06-13 12:03:04.652104220+00:00,8,0,0,0,33.383039908162075,0.9333978013867613,0.0,zonia,0,False
2025-06-13 12:09:56.750414220+00:00,8,0,0,0,33.479998381946125,0.9361818929857619,0.0,zonia,0,False
2025-06-13 13:17:27.605412220+00:00,8,0,0,0,34.32697683401806,0.9297804003798384,0.0,zonia,0,False
2025-06-13 13:27:39.543455220+00:00,8,0,0,0,33.84492572704122,0.9398918551999029,0.0,zonia,0,False
2025-06-13 13:39:10.381739220+00:00,8,0,0,0,33.77987696168959,0.937167089100034,0.0,zonia,0,False
2025-06-13 13:42:56.882342220+00:00,8,0,0,0,34.112690818603575,0.9381691271954284,0.0,zonia,0,False
2025-06-13 14:06:17.163136220+00:00,8,0,0,0,33.531782459509,0.930137841757019,0.0,zonia,0,False
2025-06-13 14:11:08.243462220+00:00,8,0,0,0,33.7684484311819,0.9268677095604053,0.0,zonia,0,False
2025-06-13 14:31:59.118640220+00:00,8,0,0,0,33.64046912934064,0.9213140616892123,0.0,zonia,0,False
2025-06-13 14:54:03.537638220+00:00,8,0,0,0,33.276041240090365,0.9114866191704796,0.0,zonia,0,False
2025-06-13 14:57:55.498169220+00:00,8,0,0,0,33.47135375851407,0.917509780665126,0.0,zonia,0,False
2025-06-13 15:05:56.062215220+00:00,8,0,0,0,33.03522533903962,0.9170237952681776,0.0,zonia,0,False
2025-06-13 16:40:56.351163220+00:00,8,0,0,0,31.796610809323376,0.929441981293081,0.0,zonia,0,False
2025-06-13 16:50:03.438894220+00:00,8,0,0,0,31.390240388188328,0.9276730036375251,0.0,zonia,0,False
2025-06-13 16:55:40.232642220+00:00,8,0,0,0,31.040871147051917,0.9288696982035378,0.0,zonia,0,False
2025-06-13 16:58:53.201218220+00:00,8,0,0,0,30.88986647989103,0.8374659263737756,0.0,zonia,0,False
2025-06-13 17:05:44.098102220+00:00,8,0,0,0,30.79252844962528,0.835855857879856,0.0,zonia,0,False
2025-06-13 17:14:55.591207220+00:00,8,0,0,0,30.848002394712697,0.839881325159221,0.0,zonia,0,False
2025-06-13 17:40:58.714165220+00:00,8,0,0,0,29.731622680548824,0.8433632769700938,0.0,zonia,0,False
2025-06-13 17:45:32.102275220+00:00,8,0,0,0,29.717549611586524,0.8448955998256096,0.0,zonia,0,False
2025-06-13 17:59:27.347386220+00:00,8,0,0,0,29.092587925814264,0.8447494197152712,0.0,zonia,0,False
2025-06-13 18:33:21.083083220+00:00,8,0,0,0,27.418439349913115,0.8474038043242312,0.0,zonia,0,False
2025-06-13 18:42:43.443052220+00:00,8,0,0,0,26.736125717798682,0.9110202829018672,0.0,zonia,0,False
2025-06-13 19:05:05.948392220+00:00,8,0,0,0,25.599922510052494,0.9040984571896963,0.0,zonia,0,False
2025-06-13 19:14:36.688607220+00:00,8,0,0,0,25.251610115910335,0.9302655582735604,0.0,zonia,0,False
2025-06-13 19:22:49.962857220+00:00,8,0,0,0,25.247890885215302,0.9419590974123471,0.0,zonia,0,False
2025-06-13 19:56:18.889977220+00:00,8,0,0,0,23.70749579751072,0.9499754036476035,0.0,zonia,0,False
2025-06-13 20:04:58.450688220+00:00,8,0,0,0,23.44735820493115,0.9587222420682917,0.0,zonia,0,False
2025-06-13 20:43:55.356925220+00:00,8,0,0,0,22.809216402884,0.9663139347559038,0.0,zonia,0,False
2025-06-13 22:38:56.645212220+00:00,8,0,0,0,20.38104131394796,0.9429011813770367,0.0,zonia,0,False
2025-06-13 23:03:27.002270220+00:00,8,0,0,0,19.664567668075087,0.9218250819770473,0.0,zonia,0,False
2025-06-13 23:13:49.910647220+00:00,8,0,0,0,20.545611249163898,0.929308769965919,0.0,zonia,0,False
2025-06-13 23:54:38.188557220+00:00,8,0,0,0,19.585343196781057,0.9450004791243363,0.0,zonia,0,False
2025-06-13 23:55:43.818261220+00:00,8,0,0,0,19.70257724236945,0.9486742176466153,0.0,zonia,0,False
2025-06-14 00:20:41.981038220+00:00,8,0,0,0,18.481750799205948,0.9512502731837901,0.0,zonia,0,False
2025-06-14 00:54:54.733677220+00:00,8,0,0,0,18.8774022932335,0.9504998529709677,0.0,zonia,0,False
2025-06-14 01:29:18.899317220+00:00,8,0,0,0,18.232574665867215,0.9491794602735797,0.0,zonia,0,False
